ツアー              tour
レジ              收银处
クーポン              优惠券；联票
セミナー              专题研讨会
コンクリート              混凝土
モダン              modern
ベテラン              老手
ファックス              fax
プリントアウト              印刷
コード              绝缘电线；软线
コンセント              插座
ヨガ              yoga
ホストファミリー              hostfamily
ムスリム              Muslim
タブー              taboo
エッセイ              随笔；小品文
ポーズ              pause
かぼちゃ              南瓜
ヒット作              成功之作
スケジュール帳              记事本
スピーチコンテスト              speechcontest
ダンスパフォーマンス              danceperformance
リハーサル              rehearsal
トラブル              trouble
オノマトペ              拟声拟态词
パネルディスカッション              专题研讨会
マニフェスト              选举公约
シャドーキャビネット影子内阁
ヘルパー              帮手
バリアフリー              无障碍
ケアマネージャー              专业护理人员
ヴァリエーション              变化；变种
ユニーク              独特
フロア              地板
ノーマライゼーション              normalization
ユニバーサルデザイン              通用设计
オーブン              烤箱
バブル              bubble
コンテンツ              contents
セルアニメ              手工动画
サインイン              signin
トライ              try
レコーダー              recorder
ハンドルネーム              网名
ネットショッピング              netshopping
ゴーヤーチャンプルー              炒苦瓜
ポット              壶
グッドハウスキーピング              好管家
ハウスハズバンド              家庭主夫
シンプルライフ              简单生活
ブランド              品牌
ミュージシャン              音乐人
レインボー              彩虹
ペガサス              飞马座
クロスカルチャー              交叉文化
フライドチキン              炸鸡块
ポテトチップス              炸薯条
スティック              棒；条
アスペクト              语态语体
マッチ              火柴
ロープ              绳子
シンドローム              症候群
サーフィン              冲浪
ニュアンス              语调
ブックリスト              booklist
アピールポイント              诉求点
サラダサーバー              沙拉专用餐具
ミーハー              追星族
オーナー              所有者
ヘルシー              健康
コンセプト              概念
マーカー              标记
リフレッシュ              重新振作
ウォーキング              走路
トライニング              训练
シューズ              运动鞋
ウェア              运动服
ドーピング              兴奋剂
フェアプレー              公正的比赛
シャボン玉              肥皂泡
カシミア              羊绒
ヤギ              山羊
ギャップ              gap
ハイテク              高科技
