座席               ざせき
拝観               はいかん
撮影               さつえい
飲食               いんしょく
竦める               すくめる
唐招提寺               とうしょうだいじ
鑑真和尚               がんじんわじょう
遭難               そうなん
薬学               やくがく
義務教育               ぎむきょういく
水族館               すいぞくかん
母校               ぼこう
新車               しんしゃ
借金               しゃっきん
家中               うちじゅう
対応               たいおう
紙幣               しへい
規則               きそく
許可               きょか
限定               げんてい
車掌               しゃしょう
禁煙               きんえん
頤和園               いわえん
民族舞踊               みんぞくぶよう
喫煙               きつえん
街並み               まちなみ
春夏秋冬               しゅんかしゅうとう
道連れ               みちづれ
一木一草               いちぼくいっそう
碁盤               ごばん
住所               じゅうしょ
長年               ながねん
萩               はぎ
資源               しげん
合意               ごうい
考慮               こうりょ
河川               かせん
条例               じょうれい
波               なみ
庭園               ていえん
保守的               ほしゅてき
景観               けいかん
倣う               ならう
本家               ほんけ
絶妙               ぜつみょう
破壊               はかい
奇数               きすう
偶数               ぐうすう
品質               ひんしつ
豊富               ほうふ
利点               りてん
助手               じょしゅ
乾燥               かんそう
水屋               みずや
学歴               がくれき
駐車               ちゅうしゃ
感染               かんせん
名産               めいさん
唱える               となえる
集約               しゅうやく
敬い合う               うやまいあう
清らか               きよらか
嘆く               なげく
応用               おうよう
簡潔               かんけつ
対処               たいしょ
大家               おおや
誠意               せいい
催促               さいそく
恐縮               きょうしゅく
摩擦               まさつ
出世               しゅっせ
投資               とうし
空席               くうせき
お世辞               おせじ
睨む               にらむ
紀行               きこう
朝市               あさいち
尻上がり               しりあがり
平ら               たいら
告げる               つげる
錯覚               さっかく
同様               どうよう
記号               きごう
蹴る               ける
強張る               こわばる
紫外線               しがいせん
級友               きゅうゆう
共生               きょうせい
調整               ちょうせい
国籍               こくせき
手数               てかず
秘訣               ひけつ
聴衆               ちょうしゅう
相槌               あいづち
雑感記               ざっかんき
屋台               やたい
時刻               じこく
気鋭               きえい
脅威               きょうい
娯楽               ごらく
腕章               わんしょう
誘導               ゆうどう
心情               しんじょう
箇所               かしょ
老舗               しにせ
苛立ち               いらだち
政策綱領               せいさくこうりょう
無闇               むやみ
介護               かいご
急務               きゅうむ
独自               どくじ
枠               わく
発話               はつわ
質疑応答               しつぎおうとう
矛盾               むじゅん
構成               こうせい
根拠               こんきょ
交際               こうさい
同意               どうい
短縮               たんしゅく
罰金               ばっきん
増加               ぞうか
性質               せいしつ
柔軟               じゅうなん
表記               ひょうき
明確               めいかく
水準               すいじゅん
向上               こうじょう
権利               けんり
話者               わしゃ
応諾               おうだく
合唱               がっしょう
弾ける               はじける
投機               とうき
続出               ぞくしゅつ
極端               きょくたん
悪化               あっか
血液               けつえき
循環系               じゅんかんけい
金融               きんゆう
大幅               おおはば
超過               ちょうか
乗用車               じょうようしゃ
制御               せいぎょ
健在               けんざい
優れる               すぐれる
熱狂的               ねっきょうてき
博する               はくする
職人               しょくにん
技               わざ
丹念               たんねん
熟練               じゅくれん
製作               せいさく
育成               いくせい
安泰               あんたい
推移               すいい
飛躍               ひやく
急激               きゅうげき
減少               げんしょう
多数               たすう
進出               しんしゅつ
急速               きゅうそく
上昇               じょうしょう
甚だしい               はなはだしい
大転倒               だいてんとう
激突               げきとつ
派手               はで
入荷               にゅうか
流派               りゅうは
名札               なふだ
商品券               しょうひんけん
高額               こうがく
同僚               どうりょう
固まる               かたまる
躊躇う               ためらう
延長               えんちょう
副作用               ふくさよう
与党               よとう
野党               やとう
至る               いたる
葛藤               かっとう
他者               たしゃ
唐突               とうとつ
尊重               そんちょう
富み               とみ
公平               こうへい
各店               かくてん
器               うつわ
大和               やまと
強火               つよび
蓋碗               がいわん
勢い               いきおい
添加               てんか
免許証               めんきょしょう
志す               こころざす
彼此               かれこれ
平穏               へいおん
鉄則               てっそく
無形文化財               むけいぶんかざい
頻度               ひんど
縁側               えんがわ
読破               どくは
細雪               ささめゆき
炊く               たく
網               あみ
感興               かんきょう
奇妙               きみょう
卑下               ひげ
世間               せけん
属性               ぞくせい
過程               かてい
性向               せいこう
通念               つうねん
基盤               きばん
飛行士               ひこうし
操縦               そうじゅう
細菌               さいきん
兵器               へいき
宗教家               しゅうきょうか
按摩師               あんまし
強盗               ごうとう
白鳥               はくちょう
居酒屋               いざかや
包帯               ほうたい
土着               どちゃく
宴会               えんかい
戦前               せんぜん
筋               すじ
両肩               りょうかた
師範               しはん
左腕               さわん
謙遜               けんそん
出題               しゅつだい
早朝               そうちょう
金額               きんがく
倒産               とうさん
経費               けいひ
節減               せつげん
描写               びょうしゃ
最低限               さいていげん
人工               じんこう
毛布               もうふ
裁縫               さいほう
化粧品               けしょうひん
順位               じゅんい
遭遇               そうぐう
土台               どだい
無神経               むしんけい
不図               ふと
呼吸               こきゅう
陥る               おちいる
対峙               たいじ
人種               じんしゅ
奪う               うばう
前項               ぜんこう
肝要               かんよう
慎む               つつしむ
離れ業               はなれわざ               绝技
実践               じっせん
付随               ふずい
恣意的               しいてき
付加               ふか
度合               どあい               程度
費用               ひよう
疑う               うたがう
参観               さんかん
不審               ふしん
皇后               こうごう
家来               けらい
激怒               げきど
処刑               しょけい
間近               まぢか
日没               にちぼつ
苦難               くなん
襲う               おそう
貫く               つらぬく
寸前               すんぜん
直面               ちょくめん
配布               はいふ
集計               しゅうけい
横暴               おうぼう
随筆               ずいひつ
命題               めいだい
試み               こころみ
糸口               いとくち
資質               ししつ
謙虚               けんきょ
頸椎               けいつい
詩歌               しいか
連想               れんそう
一隅               いちぐう
説く               とく
建立               こんりゅう
赴任               ふにん
鶯               うぐいす
印鑑               いんかん
曝す               さらす
高度               こうど
競技               きょうぎ
進展               しんてん
飽食               ほうしょく
出納               すいとう
障害               しょうがい
知見               ちけん
先行               せんこう
