枝垂れ桜    しだれざくら
満月    まんげつ
漂う    ただよう
呼応    こおう
頃合い    ころあい
紺青    こんじょう
淡紅色    たんこうしょく
装い    よそおい
雑踏    ざっとう
跡形    あとかた
生成    せいせい
衰滅    すいめつ
変転    へんてん
宿命    しゅくめい
路傍    ろぼう
軽やか    かろやか
辿り着く    たどりつく
絹    きぬ
灯    とぼし
慈しむ    いつくしむ
平凡    へいぼん
寂寞    せきばく
切実    せつじつ
草叢    くさむら
構図    こうず
感慨    かんがい
象徴    しょうちょう
見計らう    みはからう
家路    いえじ
無愛想    ぶあいそう
常連客    じょうれんきゃく
女将    おかみ
暖簾    のれん
大入り袋    おおいりぶくろ
労う    ねぎらう
揃い    そろい
一人前    いちにんまえ
悟る    さとる
額    ひたい
微か    かすか
仏頂面    ぶっちょうづら
丼    どんぶり
繁盛    はんじょう
途切れる    とぎれる
逞しい    たくましい
褪せる    あせる
放り込む    ほうりこむ
弾む    はずむ
手当    てあて
堪える    こらえる
拭う    ぬぐう
笑い転げる    わらいころげる
一脚    いっきゃく
励み    はげみ
歳月    さいげつ
恒例    こうれい
大皿    おおざら
合図    あいず
除夜    じょや
窮屈    きゅうくつ
押し黙る    おしだまる
睨み付ける    にらみつける
交互    こうご
小児科    しょうにか
陣取る    じんどる
歓声    かんせい
新雪    しんせつ
跳ね返る    はねかえる
一足    ひとあし
睦月    むつき
元来    がんらい
中途半端    ちゅうとはんぱ
寝台券    しんだいけん
再三    さいさん
突発    とっぱつ
陰口    かげぐち
無造作    むぞうさ
袂    たもと
お釣り    おつり
冷淡    れいたん
憂鬱    ゆううつ
厄介    やっかい
陰気    いんき
改札口    かいさつぐち
俵詰め    たわらづめ
芋    いも
方角    ほうがく
顎    あご
算盤    そろばん
愚か    おろか
手垢    てあか
徐に    おもむろに
納まる    おさまる
感触    かんしょく
台    うてな
真上    まうえ
吊るす    つるす
銀貨    ぎんか
白銅貨    はくどうか
高架線    こうかせん
甘栗    あまぐり
貨幣    かへい
無限    むげん
舶来    はくらい
万年筆    まんねんひつ
横町    よこちょう
橙    だいだい
脇    わき
翳す    かざす
目盛り    めもり
嗅ぐ    かぐ
疎ら    まばら
怪訝    けげん
お辞儀    おじぎ
瞬く    またたく
顛末    てんまつ
逆上    ぎゃくじょう
幾重    いくえ
間抜け    まぬけ
伴侶    はんりょ
没入    ぼつにゅう
風流心    ふうりゅうしん
妨げ    さまたげ
失格    しっかく
洪水    こうずい
旱魃    かんばつ
飢饉    ききん
悪疫    あくえき
人里    ひとざと
庵    いおり
安住    あんじゅう
逃避    とうひ
続発    ぞくはつ
天変地異    てんぺんちい
活路    かつろ
山里    やまざと
反応    はんのう
真っ赤    まっか
破滅    はめつ
救済    きゅうさい
暴力    ぼうりょく
循環    じゅんかん
軌道    きどう
襲う    おそう
極端    きょくたん
免れる    まぬかれる
渡来    とらい
計測    けいそく
機関誌    きかんし
突っ走る    つっぱしる
全速力    ぜんそくりょく
旧式    きゅうしき
風情    ふぜい
樹木    じゅもく
眼中    がんちゅう
寄与    きよ
比喩的    ひゆてき
発揮    はっき
放す    はなす
示唆    しさ
室内装飾    しつないそうしょく
仄めかす    ほのめかす
各々    おのおの
動作    どうさ
顕微鏡    けんびきょう
個々    ここ
彼此    かれこれ
生い立ち    おいたち
相違    そうい
例示    れいじ
化石    かせき
栄枯盛衰    えいこせいすい
創設    そうせつ
促進    そくしん
整備    せいび
蛾    が
