瓢箪 ひょうたん
茶渋 ちゃしぶ
道端 みちばた
横町 よこちょう
半町 はんちょう
荒物屋 あらものや
駄菓子屋 だがしや
恰好 かっこう
大工 だいく
奇抜 きばつ
仕舞屋 しもたや
修身 しゅうしん
散々 さんざん
叱言 こごと
玄能 げんのう
豪家 ごうけ
丹塗り にぬり
蟋蟀 きりぎりす
辻風 つじかぜ
薪の料 たきぎのしろ
刻限 こくげん
衰微 すいび
永年 ながねん
築地 ついじ
低佪 ていかい
局所 きょくしょ
逢着 ほうちゃく
大儀 たいぎ
火桶 ひおけ
山吹 やまぶき
汗衫 かざみ
太刀 たち
濁る にごる
天井裏 てんじょううら
死骸 しがい
裸 はだか
腐爛 ふらん
臭気 しゅうき
嗅覚 きゅうかく
憎悪 ぞうお
大股 おおまた
弩 いしゆみ
成就 じょうじゅ
縄 なわ
侮蔑 ぶべつ
疫病 えやみ
菜料 さいりょう
襟上 えりがみ
蹴倒す けたおす
黒洞々 こくとうとう
小心 しょうしん
鬱憤 うっぷん
漠然 ばくぜん
閉口 へいこう
思案 しあん
驚異 きょうい
一挙一動 いっきょいちどう
膾炙 かいしゃ
故意 こい
戯曲 ぎきょく
清書 せいしょ
奇矯 ききょう
過失 かしつ
実地 じっち
悔恨 かいこん
粗末 そまつ
炎 ほのお
内気 うちき
懐中電灯 かいちゅうでんとう
金目 かねめ
切っ先 きっさき
興奮 こうふん
質札 しちふだ
愚痴 ぐち
水爆 すいばく
凶器 きょうき
家宅捜査 かたくそうさ
手錠 てじょう
鋼 はがね
